=== HBM Pipeline Summary ===
Input:   C:/Users/hmanj/PycharmProjects/NHL_Poisson/Poisson_Data_Jachec_NH_Lymphoma_Zip(in).csv
Spatial: C:/Users/hmanj/OneDrive/Desktop/Hillsborough_new.geojson
N regions: 54
N edges:   126
Scaling factor: 18519.1095

              mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
phi_raw[12]  0.043  0.751  -1.158    1.541      0.061    0.062     152.0      71.0    NaN
phi_raw[13] -0.031  0.506  -0.966    0.815      0.045    0.046     130.0      83.0    NaN
phi_raw[14]  0.079  0.779  -1.344    1.523      0.115    0.064      45.0      71.0    NaN
phi_raw[15]  0.198  0.955  -1.633    1.717      0.118    0.078      71.0      78.0    NaN
phi_raw[16] -0.042  0.618  -1.095    0.925      0.076    0.052      78.0      78.0    NaN
phi_raw[17] -0.080  0.819  -1.369    1.952      0.087    0.080      82.0      71.0    NaN
phi_raw[18] -0.020  0.597  -1.013    1.079      0.095    0.033      40.0      51.0    NaN
phi_raw[19]  0.089  1.231  -1.828    2.611      0.116    0.104     103.0      52.0    NaN
phi_raw[20] -0.052  0.512  -1.042    0.837      0.053    0.036      97.0      76.0    NaN
phi_raw[21]  0.022  0.814  -1.737    1.319      0.080    0.077     101.0      64.0    NaN
phi_raw[22] -0.134  0.899  -1.847    1.167      0.065    0.147     161.0      47.0    NaN
phi_raw[23] -0.053  0.496  -1.155    0.759      0.043    0.056     134.0      88.0    NaN
phi_raw[24] -0.109  0.633  -1.262    0.981      0.066    0.041      88.0      78.0    NaN
phi_raw[25] -0.018  0.753  -1.282    1.344      0.069    0.071     120.0      92.0    NaN
phi_raw[26] -0.107  0.576  -1.166    0.953      0.053    0.045     122.0      40.0    NaN
phi_raw[27]  0.012  0.613  -0.912    1.342      0.055    0.068     124.0      60.0    NaN
phi_raw[28] -0.163  0.706  -1.363    1.003      0.076    0.064      92.0      60.0    NaN
phi_raw[29] -0.004  0.588  -1.260    0.900      0.063    0.043      95.0      77.0    NaN
phi_raw[30]  0.022  0.556  -1.380    0.828      0.060    0.059      88.0      77.0    NaN
phi_raw[31] -0.103  0.904  -1.721    1.456      0.092    0.098     110.0      60.0    NaN
phi_raw[32]  0.384  1.570  -2.644    3.010      0.222    0.128      55.0      78.0    NaN
phi_raw[33]  0.273  1.470  -2.374    2.866      0.234    0.136      40.0      59.0    NaN
phi_raw[34] -0.103  0.694  -1.117    1.426      0.131    0.061      25.0      59.0    NaN
phi_raw[35] -0.116  0.621  -1.061    1.123      0.082    0.048      59.0      63.0    NaN
phi_raw[36] -0.130  0.648  -1.551    0.937      0.062    0.035     109.0      93.0    NaN
phi_raw[37]  0.053  0.530  -1.040    0.911      0.062    0.042      70.0      78.0    NaN
phi_raw[38] -0.055  0.543  -0.997    0.837      0.063    0.033      71.0      82.0    NaN
phi_raw[39] -0.112  0.601  -1.127    1.064      0.058    0.065     113.0      77.0    NaN
phi_raw[40]  0.006  0.574  -1.135    1.038      0.053    0.046     115.0      75.0    NaN
phi_raw[41] -0.090  0.554  -1.092    1.053      0.058    0.045      86.0      92.0    NaN
phi_raw[42]  0.003  0.617  -0.973    1.151      0.066    0.051      80.0      91.0    NaN
phi_raw[43] -0.056  0.709  -1.138    1.333      0.056    0.053     149.0      78.0    NaN
phi_raw[44] -0.022  0.732  -1.400    1.406      0.076    0.059      90.0      78.0    NaN
phi_raw[45] -0.007  0.418  -0.876    0.726      0.043    0.034      95.0      82.0    NaN
phi_raw[46] -0.093  0.592  -1.043    1.158      0.061    0.042     100.0      89.0    NaN
phi_raw[47] -0.032  0.833  -1.558    1.573      0.091    0.070      85.0      85.0    NaN
phi_raw[48] -0.026  0.538  -1.013    0.984      0.088    0.039      38.0      62.0    NaN
phi_raw[49] -0.068  0.595  -1.077    0.989      0.048    0.045     146.0      76.0    NaN
phi_raw[50] -0.059  0.623  -1.393    0.914      0.071    0.042      76.0     113.0    NaN
phi_raw[51] -0.046  0.687  -1.101    1.311      0.093    0.052      50.0      54.0    NaN
phi_raw[52] -0.061  0.783  -1.511    1.470      0.071    0.072     114.0      68.0    NaN
phi_raw[53] -0.011  0.715  -1.444    1.245      0.076    0.050      86.0      52.0    NaN
sigma        0.281  0.366   0.013    0.929      0.049    0.081      18.0      61.0    NaN
rho          0.759  0.293   0.152    1.000      0.056    0.028      18.0      77.0    NaN
